Block Type	96well																											
Chemistry	SYBR_GREEN																											
Experiment File Name	XXX																											
Experiment Run End Time	XXX																											
Instrument Type	steponeplus																											
Passive Reference	ROX																											
																												
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	HIGHSD
A1	S2	GAPDH	UNKNOWN	SYBR	None				22.681453704834	22.6324977874756	0.043552599847317							0	1	1	3	15	1	82.5529708862305				N
A2	S2	GAPDH	UNKNOWN	SYBR	None				22.6179790496826	22.6324977874756	0.043552599847317							0	1	1	3	15	1	82.4036560058594				N
A3	S2	GAPDH	UNKNOWN	SYBR	None				22.5980567932129	22.6324977874756	0.043552599847317							0	1	1	3	15	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
A10	S2	Hoxc13	UNKNOWN	SYBR	None	1	0.762227714061737	1.31194388866425	31.3316459655762	31.0572147369385	0.240448400378227		8.42472076416016	0.141081854701042			0	0	1	1	3	23	1	85.5405883789063				N
A11	S2	Hoxc13	UNKNOWN	SYBR	None	1	0.762227714061737	1.31194388866425	30.8835048675537	31.0572147369385	0.240448400378227		8.42472076416016	0.141081854701042			0	0	1	1	3	23	1	85.545783996582				N
A12	S2	Hoxc13	UNKNOWN	SYBR	None	1	0.762227714061737	1.31194388866425	30.9565010070801	31.0572147369385	0.240448400378227		8.42472076416016	0.141081854701042			0	0	1	1	3	23	1	85.545783996582				N
B1	S3	GAPDH	UNKNOWN	SYBR	None				24.3575077056885	24.3971309661865	0.034375090152025							0	1	1	3	17	1	82.4036560058594				N
B2	S3	GAPDH	UNKNOWN	SYBR	None				24.4149169921875	24.3971309661865	0.034375090152025							0	1	1	3	17	1	82.4036560058594				N
B3	S3	GAPDH	UNKNOWN	SYBR	None				24.4189701080322	24.3971309661865	0.034375090152025							0	1	1	3	17	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
B10	S3	Hoxc13	UNKNOWN	SYBR	None	0.183569088578224	0.099900163710117	0.33731284737587	35.831241607666	35.2674560546875	0.54650229215622		10.8703260421753	0.316146790981293			2.44560503959656	0	1	1	3	28	1	85.5405883789063				Y
B11	S3	Hoxc13	UNKNOWN	SYBR	None	0.183569088578224	0.099900163710117	0.33731284737587	34.7400550842285	35.2674560546875	0.54650229215622		10.8703260421753	0.316146790981293			2.44560503959656	0	1	1	3	27	1	85.3964309692383				Y
B12	S3	Hoxc13	UNKNOWN	SYBR	None	0.183569088578224	0.099900163710117	0.33731284737587	35.2310752868652	35.2674560546875	0.54650229215622		10.8703260421753	0.316146790981293			2.44560503959656	0	1	1	3	27	1	85.545783996582				Y
C1	S4	GAPDH	UNKNOWN	SYBR	None				24.2413349151611	24.2758636474609	0.034827124327421							0	1	1	3	16	1	82.4036560058594				N
C2	S4	GAPDH	UNKNOWN	SYBR	None				24.3109817504883	24.2758636474609	0.034827124327421							0	1	1	3	17	1	82.4036560058594				N
C3	S4	GAPDH	UNKNOWN	SYBR	None				24.2752780914307	24.2758636474609	0.034827124327421							0	1	1	3	17	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
C10	S4	Hoxc13	UNKNOWN	SYBR	None	0.336846172809601	0.304525226354599	0.372597515583038	34.2331886291504	34.2704200744629	0.083840109407902		9.9945592880249	0.052415307611227			1.56983816623688	0	1	1	3	26	1	85.5405883789063				N
C11	S4	Hoxc13	UNKNOWN	SYBR	None	0.336846172809601	0.304525226354599	0.372597515583038	34.3664321899414	34.2704200744629	0.083840109407902		9.9945592880249	0.052415307611227			1.56983816623688	0	1	1	3	26	1	85.3964309692383				N
C12	S4	Hoxc13	UNKNOWN	SYBR	None	0.336846172809601	0.304525226354599	0.372597515583038	34.2116508483887	34.2704200744629	0.083840109407902		9.9945592880249	0.052415307611227			1.56983816623688	0	1	1	3	26	1	85.2470703125				N
D1	S6	GAPDH	UNKNOWN	SYBR	None				23.2396659851074	23.2534046173096	0.011944542638958							0	1	1	3	16	1	82.4036560058594				N
D2	S6	GAPDH	UNKNOWN	SYBR	None				23.2613220214844	23.2534046173096	0.011944542638958							0	1	1	3	16	1	82.4036560058594				N
D3	S6	GAPDH	UNKNOWN	SYBR	None				23.2592277526855	23.2534046173096	0.011944542638958							0	1	1	3	16	1	82.5534362792969				N
																												
																												
																												
																												
																												
																												
D10	S6	Hoxc13	UNKNOWN	SYBR	None	0.164708986878395	0.112355917692184	0.241456359624863	34.3136749267578	34.2801361083984	0.344053238630295		11.0267295837402	0.198758915066719			2.60200881958008	0	1	1	3	26	1	85.5405883789063				N
D11	S6	Hoxc13	UNKNOWN	SYBR	None	0.164708986878395	0.112355917692184	0.241456359624863	33.920539855957	34.2801361083984	0.344053238630295		11.0267295837402	0.198758915066719			2.60200881958008	0	1	1	3	26	1	85.3964309692383				N
